replicate	fa	treatment	fa_conc
S_16	C22:1	Pro	20.03850408
S_16	C22:2	Pro	0
S_16	C22:5(n-3)	Pro	2.973936393
S_16	C22:6(n-3)	Pro	1.435131245
S_16	C24:0	Pro	0
S_16	C24:1	Pro	0
S_17	C08:0	Pro	0
S_17	C10:0	Pro	0
S_17	C11:0	Pro	0
S_17	C12:0	Pro	0
S_17	C13:0	Pro	0
S_17	C14:0	Pro	0
S_17	C14:1	Pro	0
S_17	C15:0	Pro	0
S_17	C15:1	Pro	0
S_17	C16:0	Pro	73.00140909
S_17	C16:1	Pro	38.40805059
S_17	C17:1	Pro	0
S_17	C18:0	Pro	53.70970922
S_17	C18:1	Pro	86.33636714
S_17	C18:2(n-6t)	Pro	0
S_17	C18:2(n-6c)	Pro	27.64757116
S_17	C18:3(n-6)	Pro	0.715046192
S_17	C18:3(n-3)	Pro	6.380361511
S_17	C18:4(n-3)	Pro	0
S_17	C20:0	Pro	0.889229949
S_17	C20:1	Pro	8.565805991
S_17	C20:2(n-6)	Pro	6.133718888
S_17	C20:3(n-6)	Pro	0.654672478
S_17	C20:4(n-6)	Pro	11.18914229
S_17	C20:3(n-3)	Pro	0
S_17	C21:0	Pro	0
S_17	C20:5(n-3)	Pro	12.67861011
S_17	C22:0	Pro	0
S_17	C22:1	Pro	15.97028546
S_17	C22:2	Pro	0
S_17	C22:5(n-3)	Pro	2.216208432
S_17	C22:6(n-3)	Pro	0.711366043
S_17	C24:0	Pro	0
S_17	C24:1	Pro	0
S_18	C08:0	Pro	0
S_18	C10:0	Pro	0
S_18	C11:0	Pro	0
S_18	C12:0	Pro	0
S_18	C13:0	Pro	0
S_18	C14:0	Pro	0.586632964
S_18	C14:1	Pro	0
S_18	C15:0	Pro	0
S_18	C15:1	Pro	0
S_18	C16:0	Pro	73.88904727
S_18	C16:1	Pro	44.61043227
S_18	C17:1	Pro	0
S_18	C18:0	Pro	47.74716363
S_18	C18:1	Pro	75.7457458
