replicate	fa	treatment	fa_conc
S_20	C20:5(n-3)	Pro	420.73681
S_20	C22:0	Pro	0
S_20	C22:1	Pro	28.30146
S_20	C22:2	Pro	0.05837
S_20	C22:5(n-3)	Pro	15.27152
S_20	C22:6(n-3)	Pro	16.24209
S_20	C24:0	Pro	0
S_20	C24:1	Pro	0
S_21	C08:0	Mix	0.03088
S_21	C10:0	Mix	0
S_21	C11:0	Mix	#NV
S_21	C12:0	Mix	13.29715
S_21	C13:0	Mix	164.57031
S_21	C14:0	Mix	105.34272
S_21	C14:1	Mix	0
S_21	C15:0	Mix	17.21299
S_21	C15:1	Mix	0
S_21	C16:0	Mix	2091.88547
S_21	C16:1	Mix	294.58235
S_21	C17:0	Mix	21.25087
S_21	C17:1	Mix	0
S_21	C18:0	Mix	322.18817
S_21	C18:1	Mix	585.82762
S_21	C18:2(n-6t)	Mix	0.01624
S_21	C18:2(n-6c)	Mix	205.59169
S_21	C18:3(n-6)	Mix	0.24215
S_21	C18:3(n-3)	Mix	160.40198
S_21	C18:4(n-3)	Mix	0.99021
S_21	C20:0	Mix	0.0282
S_21	C20:1	Mix	15.82614
S_21	C20:2(n-6)	Mix	24.09549
S_21	C20:3(n-6)	Mix	25.18771
S_21	C20:4(n-6)	Mix	169.00437
S_21	C21:0	Mix	0
S_21	C20:5(n-3)	Mix	180.57413
S_21	C22:0	Mix	0
S_21	C22:1	Mix	32.26784
S_21	C22:2	Mix	0.08399
S_21	C22:5(n-3)	Mix	4.82029
S_21	C22:6(n-3)	Mix	0.92176
S_21	C24:0	Mix	0
S_21	C24:1	Mix	0
S_22	C08:0	Mix	0.36526
S_22	C10:0	Mix	0
S_22	C11:0	Mix	#NV
S_22	C12:0	Mix	12.36215
S_22	C13:0	Mix	173.20334
S_22	C14:0	Mix	164.3857
S_22	C14:1	Mix	0
S_22	C15:0	Mix	28.1828
S_22	C15:1	Mix	0
S_22	C16:0	Mix	3135.18658
S_22	C16:1	Mix	627.82123
S_22	C17:0	Mix	32.16063
S_22	C17:1	Mix	1.15612
S_22	C18:0	Mix	424.38089
S_22	C18:1	Mix	681.19203
S_22	C18:2(n-6t)	Mix	0
S_22	C18:2(n-6c)	Mix	317.31386
S_22	C18:3(n-6)	Mix	0
S_22	C18:3(n-3)	Mix	247.98223
S_22	C18:4(n-3)	Mix	21.38537
S_22	C20:0	Mix	1.79532
S_22	C20:1	Mix	0.29123
S_22	C20:2(n-6)	Mix	34.79992
S_22	C20:3(n-6)	Mix	0
S_22	C20:4(n-6)	Mix	299.26587
S_22	C21:0	Mix	0
S_22	C20:5(n-3)	Mix	332.7304
S_22	C22:0	Mix	0
S_22	C22:1	Mix	35.19902
S_22	C22:2	Mix	0.05623
S_22	C22:5(n-3)	Mix	9.31174
S_22	C22:6(n-3)	Mix	5.32136
S_22	C24:0	Mix	30.87952
S_22	C24:1	Mix	0
S_23	C08:0	Mix	0.04863
S_23	C10:0	Mix	2.79097
S_23	C11:0	Mix	#NV
S_23	C12:0	Mix	27.03575
S_23	C13:0	Mix	172.75577
S_23	C14:0	Mix	161.81069
S_23	C14:1	Mix	0
S_23	C15:0	Mix	20.04848
S_23	C15:1	Mix	0
S_23	C16:0	Mix	3343.9386
S_23	C16:1	Mix	745.08357
S_23	C17:0	Mix	28.74456
S_23	C17:1	Mix	0
S_23	C18:0	Mix	430.1503
S_23	C18:1	Mix	738.67302
S_23	C18:2(n-6t)	Mix	3.49689
S_23	C18:2(n-6c)	Mix	401.02106
S_23	C18:3(n-6)	Mix	40.78496
S_23	C18:3(n-3)	Mix	398.53407
S_23	C18:4(n-3)	Mix	32.44087
S_23	C20:0	Mix	0.01239
S_23	C20:1	Mix	13.58401
S_23	C20:2(n-6)	Mix	51.59252
S_23	C20:3(n-6)	Mix	1.29839
S_23	C20:4(n-6)	Mix	448.87315
S_23	C21:0	Mix	0
S_23	C20:5(n-3)	Mix	427.53818
S_23	C22:0	Mix	0
S_23	C22:1	Mix	9.81098
S_23	C22:2	Mix	9.85344
S_23	C22:5(n-3)	Mix	13.67587
S_23	C22:6(n-3)	Mix	11.97081
S_23	C24:0	Mix	19.36827
S_23	C24:1	Mix	0
S_24	C08:0	Mix	0.26029
S_24	C10:0	Mix	1.75813
S_24	C11:0	Mix	#NV
S_24	C12:0	Mix	26.94095
S_24	C13:0	Mix	163.0209
S_24	C14:0	Mix	136.79868
S_24	C14:1	Mix	0
S_24	C15:0	Mix	23.54878
S_24	C15:1	Mix	0
S_24	C16:0	Mix	2657.01708
S_24	C16:1	Mix	522.5481
S_24	C17:0	Mix	27.83464
S_24	C17:1	Mix	#NV
S_24	C18:0	Mix	376.11995
S_24	C18:1	Mix	752.91817
S_24	C18:2(n-6t)	Mix	0
S_24	C18:2(n-6c)	Mix	407.96391
S_24	C18:3(n-6)	Mix	0
S_24	C18:3(n-3)	Mix	424.34493
S_24	C18:4(n-3)	Mix	19.88387
S_24	C20:0	Mix	0.20866
S_24	C20:1	Mix	24.34403
S_24	C20:2(n-6)	Mix	58.34766
S_24	C20:3(n-6)	Mix	0
S_24	C20:4(n-6)	Mix	349.23652
S_24	C21:0	Mix	0
S_24	C20:5(n-3)	Mix	305.91112
S_24	C22:0	Mix	0
S_24	C22:1	Mix	29.17086
S_24	C22:2	Mix	0.03451
S_24	C22:5(n-3)	Mix	10.82655
S_24	C22:6(n-3)	Mix	7.70016
S_24	C24:0	Mix	21.22828
S_24	C24:1	Mix	0
S_25	C08:0	Mix	0.16168
S_25	C10:0	Mix	0
S_25	C11:0	Mix	0
S_25	C12:0	Mix	0
S_25	C13:0	Mix	0
S_25	C14:0	Mix	36.71325
S_25	C14:1	Mix	0
S_25	C15:0	Mix	0
S_25	C15:1	Mix	0
S_25	C16:0	Mix	3103.64612
S_25	C16:1	Mix	594.42148
S_25	C17:0	Mix	24.58448
S_25	C17:1	Mix	0
S_25	C18:0	Mix	409.2518
S_25	C18:1	Mix	794.34301
S_25	C18:2(n-6t)	Mix	0.0236
