fa	replicate	treatment	fa_rel
C22:6(n-3)	S_20	Pro	0.186113657
C24:0	S_20	Pro	0
C08:0	S_21	Mix	0.000700022
C12:0	S_21	Mix	0.301450594
C13:0	S_21	Mix	3.730862196
C14:0	S_21	Mix	2.388153585
C15:0	S_21	Mix	0.39022409
C16:0	S_21	Mix	47.4237208
C16:1	S_21	Mix	6.678277228
C17:0	S_21	Mix	0.481764129
C18:0	S_21	Mix	7.304110058
C18:1	S_21	Mix	13.28090172
C18:2(n-6t)	S_21	Mix	0.000368207
C18:2(n-6c)	S_21	Mix	4.66083027
C18:3(n-6)	S_21	Mix	0.005489701
C18:3(n-3)	S_21	Mix	3.636364856
C18:4(n-3)	S_21	Mix	0.022448365
C20:0	S_21	Mix	0.000639212
C20:1	S_21	Mix	0.358783805
C20:2(n-6)	S_21	Mix	0.54625247
C20:4(n-6)	S_21	Mix	3.831383854
C20:5(n-3)	S_21	Mix	4.093674068
C22:1	S_21	Mix	0.731522487
C22:2	S_21	Mix	0.001904052
C22:5(n-3)	S_21	Mix	0.109277553
C22:6(n-3)	S_21	Mix	0.020896674
C24:0	S_21	Mix	0
C08:0	S_22	Mix	0.005521272
C12:0	S_22	Mix	0.186864343
C13:0	S_22	Mix	2.618115664
C14:0	S_22	Mix	2.484829434
C15:0	S_22	Mix	0.426007022
C16:0	S_22	Mix	47.39100802
C16:1	S_22	Mix	9.490051162
C17:0	S_22	Mix	0.486135212
C18:0	S_22	Mix	6.414877552
C18:1	S_22	Mix	10.29679607
C18:2(n-6t)	S_22	Mix	0
C18:2(n-6c)	S_22	Mix	4.796468474
C18:3(n-6)	S_22	Mix	0
C18:3(n-3)	S_22	Mix	3.748462052
C18:4(n-3)	S_22	Mix	0.323258052
C20:0	S_22	Mix	0.027137754
C20:1	S_22	Mix	0.004402152
C20:2(n-6)	S_22	Mix	0.526030377
C20:4(n-6)	S_22	Mix	4.523657817
C20:5(n-3)	S_22	Mix	5.029502567
C22:1	S_22	Mix	0.532063114
C22:2	S_22	Mix	0.00084992
C22:5(n-3)	S_22	Mix	0.14075485
C22:6(n-3)	S_22	Mix	0.080436922
C24:0	S_22	Mix	0.466770195
C08:0	S_23	Mix	0.000643969
C12:0	S_23	Mix	0.358049229
C13:0	S_23	Mix	2.287899268
C14:0	S_23	Mix	2.142947603
C15:0	S_23	Mix	0.265512986
C16:0	S_23	Mix	44.28561015
C16:1	S_23	Mix	9.867549694
C17:0	S_23	Mix	0.380679908
C18:0	S_23	Mix	5.696716007
C18:1	S_23	Mix	9.782651339
C18:2(n-6t)	S_23	Mix	0.046311169
C18:2(n-6c)	S_23	Mix	5.310941496
C18:3(n-6)	S_23	Mix	0.540137616
C18:3(n-3)	S_23	Mix	5.278004982
C18:4(n-3)	S_23	Mix	0.429632162
C20:0	S_23	Mix	0.00016414
C20:1	S_23	Mix	0.179900549
C20:2(n-6)	S_23	Mix	0.683268062
C20:4(n-6)	S_23	Mix	5.944672936
C20:5(n-3)	S_23	Mix	5.662122253
C22:1	S_23	Mix	0.129932212
C22:2	S_23	Mix	0.130494551
C22:5(n-3)	S_23	Mix	0.181117094
C22:6(n-3)	S_23	Mix	0.158536024
C24:0	S_23	Mix	0.256504604
C08:0	S_24	Mix	0.004101527
C12:0	S_24	Mix	0.424520385
C13:0	S_24	Mix	2.56879203
C14:0	S_24	Mix	2.155596965
C15:0	S_24	Mix	0.371068444
C16:0	S_24	Mix	41.86778679
C16:1	S_24	Mix	8.23402023
C17:0	S_24	Mix	0.438602669
C18:0	S_24	Mix	5.926687475
C18:1	S_24	Mix	11.86406274
C18:2(n-6t)	S_24	Mix	0
C18:2(n-6c)	S_24	Mix	6.428466811
C18:3(n-6)	S_24	Mix	0
C18:3(n-3)	S_24	Mix	6.686589626
C18:4(n-3)	S_24	Mix	0.313318865
C20:0	S_24	Mix	0.003287926
C20:1	S_24	Mix	0.383599654
C20:2(n-6)	S_24	Mix	0.919409692
C20:4(n-6)	S_24	Mix	5.50307344
C20:5(n-3)	S_24	Mix	4.820376064
C22:1	S_24	Mix	0.459658094
C22:2	S_24	Mix	0.000543747
C22:5(n-3)	S_24	Mix	0.17059874
C22:6(n-3)	S_24	Mix	0.121334778
C24:0	S_24	Mix	0.334503317
C08:0	S_25	Mix	0.002565813
C12:0	S_25	Mix	0
C13:0	S_25	Mix	0
C14:0	S_25	Mix	0.582613463
C15:0	S_25	Mix	0
C16:0	S_25	Mix	49.25268329
C16:1	S_25	Mix	9.433051282
C17:0	S_25	Mix	0.390138411
C18:0	S_25	Mix	6.494538548
C18:1	S_25	Mix	12.60566552
C18:2(n-6t)	S_25	Mix	0.000374516
C18:2(n-6c)	S_25	Mix	5.816347405
C18:3(n-6)	S_25	Mix	0
C18:3(n-3)	S_25	Mix	4.207725738
C18:4(n-3)	S_25	Mix	0.300381453
C20:0	S_25	Mix	0.00069448
C20:1	S_25	Mix	0.310128384
C20:2(n-6)	S_25	Mix	0.627519662
C20:4(n-6)	S_25	Mix	4.817359757
C20:5(n-3)	S_25	Mix	4.216569952
C22:1	S_25	Mix	0.466411065
C22:2	S_25	Mix	0.126397085
C22:5(n-3)	S_25	Mix	0.124370113
C22:6(n-3)	S_25	Mix	0.059528861
C24:0	S_25	Mix	0.16493521
C08:0	S_26	Mix	0
C12:0	S_26	Mix	0
C13:0	S_26	Mix	0
C14:0	S_26	Mix	0.317482284
C15:0	S_26	Mix	0
C16:0	S_26	Mix	47.59694808
C16:1	S_26	Mix	8.304503244
C17:0	S_26	Mix	0.494165051
C18:0	S_26	Mix	6.666408249
C18:1	S_26	Mix	10.54607822
C18:2(n-6t)	S_26	Mix	#NV
C18:2(n-6c)	S_26	Mix	5.935269521
C18:3(n-6)	S_26	Mix	0.017857598
C18:3(n-3)	S_26	Mix	4.175373636
C18:4(n-3)	S_26	Mix	0.157702465
C20:0	S_26	Mix	0
C20:1	S_26	Mix	0.261866241
C20:2(n-6)	S_26	Mix	0.794444132
C20:4(n-6)	S_26	Mix	7.691290208
C20:5(n-3)	S_26	Mix	6.385794456
C22:1	S_26	Mix	0.333691674
C22:2	S_26	Mix	0
C22:5(n-3)	S_26	Mix	0.190913512
C22:6(n-3)	S_26	Mix	0.130211429
C24:0	S_26	Mix	0
C08:0	S_27	Mix	0.005705051
C12:0	S_27	Mix	0
C13:0	S_27	Mix	0
C14:0	S_27	Mix	0
C15:0	S_27	Mix	0.14002085
C16:0	S_27	Mix	48.02477604
C16:1	S_27	Mix	0.618634518
C17:0	S_27	Mix	0.66809071
C18:0	S_27	Mix	10.11531361
C18:1	S_27	Mix	6.178591525
C18:2(n-6t)	S_27	Mix	0
C18:2(n-6c)	S_27	Mix	5.720474244
C18:3(n-6)	S_27	Mix	0
C18:3(n-3)	S_27	Mix	4.091809971
C18:4(n-3)	S_27	Mix	0.007061482
C20:0	S_27	Mix	0
C20:1	S_27	Mix	0.401983923
C20:2(n-6)	S_27	Mix	0.975359205
C20:4(n-6)	S_27	Mix	12.63260094
C20:5(n-3)	S_27	Mix	8.887542154
C22:1	S_27	Mix	0.912288445
C22:2	S_27	Mix	0.002821217
C22:5(n-3)	S_27	Mix	0.291928247
C22:6(n-3)	S_27	Mix	0.324997864
C24:0	S_27	Mix	0
C08:0	S_28	Mix	0
C12:0	S_28	Mix	0
C13:0	S_28	Mix	0
C14:0	S_28	Mix	0.233360286
C15:0	S_28	Mix	0.149135845
C16:0	S_28	Mix	44.20170044
C16:1	S_28	Mix	9.263345424
C17:0	S_28	Mix	0.547823193
C18:0	S_28	Mix	7.107326212
C18:1	S_28	Mix	10.57315732
C18:2(n-6t)	S_28	Mix	0.022443651
C18:2(n-6c)	S_28	Mix	6.021604542
C18:3(n-6)	S_28	Mix	0
C18:3(n-3)	S_28	Mix	4.042517965
C18:4(n-3)	S_28	Mix	0.249615269
C20:0	S_28	Mix	0.001518627
C20:1	S_28	Mix	0
