"RUNINFO"	"Name"	"Run"	"Treatment"	"Replicate"	"FA_mass"	"µg_FA_per_mg"
"204"	"Algae_3"	"17:0"	"R3"	"T"	3	3.06788946860249	0.349816359019669
"205"	"Algae_3"	"18:0"	"R3"	"T"	3	2.52658206730129	0.288093736294332
"206"	"Algae_3"	"18:1n-7"	"R3"	"T"	3	14.8119111958877	1.68892944080818
"207"	"Algae_3"	"18:1n-9c"	"R3"	"T"	3	8.73039270811418	0.995483775155551
"208"	"Algae_3"	"18:2n-6c"	"R3"	"T"	3	14.3849501615349	1.6402451723529
"209"	"Algae_3"	"18:3n-3"	"R3"	"T"	3	50.2242129683087	5.72682017882654
"210"	"Algae_3"	"18:3n-6"	"R3"	"T"	3	2.03998569231765	0.232609543023677
"211"	"Algae_3"	"20:0"	"R3"	"T"	3	0.0837957063426415	0.00955481258182913
"212"	"Algae_3"	"20:1n-9"	"R3"	"T"	3	0.0346161676856502	0.00394711148068987
"213"	"Algae_3"	"20:2n-6"	"R3"	"T"	3	0.0852884911035264	0.00972502749185021
"214"	"Algae_3"	"20:3n-3"	"R3"	"T"	3	0.26864010241141	0.030631710651244
"215"	"Algae_3"	"20:4n-6"	"R3"	"T"	3	2.56238890782783	0.29217661434753
"216"	"Algae_3"	"20:5n-3"	"R3"	"T"	3	8.38701285101057	0.956329857583874
"217"	"Algae_3"	"22:0"	"R3"	"T"	3	0	0
"218"	"Algae_3"	"22:6n-3"	"R3"	"T"	3	0.197426952341589	0.0225116251244686
"219"	"Algae_3"	"23:0"	"R3"	"T"	3	0.0845253718202686	0.0096380127503157
"220"	"Algae_3"	"24:0"	"R3"	"T"	3	0.603882087240884	0.0688577066409217
"221"	"Algae_4"	"15:0"	"R2"	"C"	2	0.295973839237292	0.0216355145641296
"222"	"Algae_4"	"16:0"	"R2"	"C"	2	45.5333315802564	3.32845991083746
"223"	"Algae_4"	"16:1n-7"	"R2"	"C"	2	3.54390332540381	0.259057260628933
"224"	"Algae_4"	"17:0"	"R2"	"C"	2	8.48322436475733	0.62011874011384
"225"	"Algae_4"	"18:0"	"R2"	"C"	2	1.56577820128622	0.114457470854256
"226"	"Algae_4"	"18:1n-7"	"R2"	"C"	2	27.6302998470912	2.01975876075228
"227"	"Algae_4"	"18:1n-9c"	"R2"	"C"	2	12.7099199579941	0.929087716227637
"228"	"Algae_4"	"18:2n-6c"	"R2"	"C"	2	22.8105848372607	1.66744041208046
"229"	"Algae_4"	"18:3n-3"	"R2"	"C"	2	102.713813587178	7.50831970666504
"230"	"Algae_4"	"18:3n-6"	"R2"	"C"	2	12.8559213567641	0.939760333096789
"231"	"Algae_4"	"20:0"	"R2"	"C"	2	0.0143944477307615	0.00105222571131298
"232"	"Algae_4"	"20:1n-9"	"R2"	"C"	2	0.132892451078093	0.00971436045892495
"233"	"Algae_4"	"20:2n-6"	"R2"	"C"	2	0.0519440243979735	0.00379707780686941
"234"	"Algae_4"	"20:3n-3"	"R2"	"C"	2	0.0949589978043112	0.00694144720791749
"235"	"Algae_4"	"20:4n-6"	"R2"	"C"	2	0.175855902883239	0.0128549636610555
"236"	"Algae_4"	"20:5n-3"	"R2"	"C"	2	1.34005524985319	0.0979572551062275
"237"	"Algae_4"	"22:0"	"R2"	"C"	2	0.143371052952037	0.0104803401280729
"238"	"Algae_4"	"22:6n-3"	"R2"	"C"	2	0.399099828214118	0.0291739640507396
"239"	"Algae_4"	"23:0"	"R2"	"C"	2	0.294479487934658	0.0215262783577966
"240"	"Algae_4"	"24:0"	"R2"	"C"	2	0.246474072854606	0.018017110588787
"241"	"Algae_5"	"15:0"	"R3"	"C"	2	0.159952771607845	0.0146611156377493
"242"	"Algae_5"	"16:0"	"R3"	"C"	2	12.9671638606487	1.18855764075607
"243"	"Algae_5"	"16:1n-7"	"R3"	"C"	2	1.31323084312124	0.120369463164184
"244"	"Algae_5"	"17:0"	"R3"	"C"	2	1.56304491015354	0.143267177832588
"245"	"Algae_5"	"18:0"	"R3"	"C"	2	0.684471060865478	0.0627379524166341
"246"	"Algae_5"	"18:1n-7"	"R3"	"C"	2	5.21769867903481	0.478249191478901
"247"	"Algae_5"	"18:1n-9c"	"R3"	"C"	2	4.62283156618668	0.423724249879622
"248"	"Algae_5"	"18:2n-6c"	"R3"	"C"	2	6.66021701292475	0.610469020433066
"249"	"Algae_5"	"18:3n-3"	"R3"	"C"	2	19.6047005918467	1.79694780860189
"250"	"Algae_5"	"18:3n-6"	"R3"	"C"	2	1.12258889763786	0.102895407666165
"251"	"Algae_5"	"20:0"	"R3"	"C"	2	0	0
"252"	"Algae_5"	"20:1n-9"	"R3"	"C"	2	0.0211539308568463	0.00193894874948179
"253"	"Algae_5"	"20:2n-6"	"R3"	"C"	2	0.0304768171210593	0.00279347544647657
"254"	"Algae_5"	"20:3n-3"	"R3"	"C"	2	0.0201335531681795	0.00184542192192296
"255"	"Algae_5"	"20:4n-6"	"R3"	"C"	2	0.136382676914557	0.0125007036585295
"256"	"Algae_5"	"20:5n-3"	"R3"	"C"	2	1.11575191374368	0.10226873636514
"257"	"Algae_5"	"22:0"	"R3"	"C"	2	0.140177762358982	0.0128485575031148
"258"	"Algae_5"	"22:6n-3"	"R3"	"C"	2	0.12965110712061	0.0118836945115132
"259"	"Algae_5"	"23:0"	"R3"	"C"	2	0.142854023472915	0.0130938609966008
"260"	"Algae_5"	"24:0"	"R3"	"C"	2	0.230645114213444	0.0211407070773093
"261"	"Algae_6"	"15:0"	"R1"	"T"	1	0.533924883470746	0.0584802720121299
"262"	"Algae_6"	"16:0"	"R1"	"T"	1	43.2769377942299	4.74008080988279
"263"	"Algae_6"	"16:1n-7"	"R1"	"T"	1	10.4060100600501	1.13976013801206
"264"	"Algae_6"	"17:0"	"R1"	"T"	1	8.18433951902217	0.896422729356207
"265"	"Algae_6"	"18:0"	"R1"	"T"	1	1.73022621946592	0.189509991179181
"266"	"Algae_6"	"18:1n-7"	"R1"	"T"	1	24.8696391131859	2.72394732893602
"267"	"Algae_6"	"18:1n-9c"	"R1"	"T"	1	12.7992067701255	1.40188464075855
"268"	"Algae_6"	"18:2n-6c"	"R1"	"T"	1	17.8416917380516	1.95418310383916
"269"	"Algae_6"	"18:3n-3"	"R1"	"T"	1	78.5419483001652	8.60262303397209
"270"	"Algae_6"	"18:3n-6"	"R1"	"T"	1	6.0067891711942	0.657917762452815
"271"	"Algae_6"	"20:0"	"R1"	"T"	1	0.0956057869557446	0.0104716086479457
"272"	"Algae_6"	"20:1n-9"	"R1"	"T"	1	0.0847843141175966	0.0092863432768452
"273"	"Algae_6"	"20:2n-6"	"R1"	"T"	1	0.198729572864162	0.0217666563925697
"274"	"Algae_6"	"20:3n-3"	"R1"	"T"	1	0.680798715250906	0.074567219633177
"275"	"Algae_6"	"20:4n-6"	"R1"	"T"	1	1.65427977252928	0.181191650879439
"276"	"Algae_6"	"20:5n-3"	"R1"	"T"	1	3.40026742998572	0.372427976997341
"277"	"Algae_6"	"22:0"	"R1"	"T"	1	0.0203491830410271	0.00222882618193068
"278"	"Algae_6"	"22:6n-3"	"R1"	"T"	1	0.371568900291701	0.0406975794404929
"279"	"Algae_6"	"23:0"	"R1"	"T"	1	0.205355832119366	0.0224924241094596
"280"	"Algae_6"	"24:0"	"R1"	"T"	1	0.231026184302592	0.0253040727604153
"281"	"Algae_7"	"15:0"	"R3"	"T"	2	0.758266447191125	0.0812718592916533
"282"	"Algae_7"	"16:0"	"R3"	"T"	2	82.2219844711768	8.81264570966525
"283"	"Algae_7"	"16:1n-7"	"R3"	"T"	2	7.50516532146051	0.804412145922884
"284"	"Algae_7"	"17:0"	"R3"	"T"	2	5.09825882532306	0.546437173132161
"285"	"Algae_7"	"18:0"	"R3"	"T"	2	5.95821500103778	0.638608253058711
"286"	"Algae_7"	"18:1n-7"	"R3"	"T"	2	34.3393169563323	3.68052700496595
"287"	"Algae_7"	"18:1n-9c"	"R3"	"T"	2	10.2474525202967	1.0983336034616
"288"	"Algae_7"	"18:2n-6c"	"R3"	"T"	2	38.4755416007584	4.12385226160326
"289"	"Algae_7"	"18:3n-3"	"R3"	"T"	2	100.992004082108	10.8244377365603
"290"	"Algae_7"	"18:3n-6"	"R3"	"T"	2	1.85977504053943	0.199332801772714
