Oldname	RUNINFO	Name	Week	FA	Treatment	FA_conc_rel
W3Pro	S_11	C18:0	3	SAFA	Pro	1.215781874
W3Pro	S_11	C18:1	3	MUFA	Pro	16.16136402
W3Pro	S_11	C18:2(n-6t)	3	PUFA	Pro	0
W3Pro	S_11	C18:2(n-6c)	3	PUFA	Pro	0
W3Pro	S_11	C18:3(n-6)	3	PUFA	Pro	1.236202251
W3Pro	S_11	C18:3(n-3)	3	PUFA	Pro	25.00689333
W3Pro	S_11	C18:4(n-3)	3	PUFA	Pro	2.308346909
W3Pro	S_11	C20:0	3	SAFA	Pro	0.13082013
W3Pro	S_11	C20:1	3	MUFA	Pro	0.235338804
W3Pro	S_11	C20:2(n-6)	3	PUFA	Pro	0.146664676
W3Pro	S_11	C20:3(n-6)	3	PUFA	Pro	0.030549632
W3Pro	S_11	C20:4(n-6)	3	PUFA	Pro	0.870978004
W3Pro	S_11	C20:3(n-3)	3	PUFA	Pro	0.021681821
W3Pro	S_11	C21:0	3	SAFA	Pro	0
W3Pro	S_11	C20:5(n-3)	3	PUFA	Pro	1.923273455
W3Pro	S_11	C22:0	3	SAFA	Pro	0.072918372
W3Pro	S_11	C22:1	3	MUFA	Pro	0.094102
W3Pro	S_11	C22:2	3	PUFA	Pro	6.01546E-05
W3Pro	S_11	C22:5(n-3)	3	PUFA	Pro	0.005072154
W3Pro	S_11	C22:6(n-3)	3	PUFA	Pro	0.113199605
W3Pro	S_11	C24:0	3	SAFA	Pro	0.825946944
W3Pro	S_11	C24:1	3	MUFA	Pro	0
W3Mix	S_12	C08:0	3	SAFA	Mix	0.001696216
W3Mix	S_12	C10:0	3	SAFA	Mix	0
W3Mix	S_12	C11:0	3	SAFA	Mix	#NV
W3Mix	S_12	C12:0	3	SAFA	Mix	0.076809734
W3Mix	S_12	C13:0	3	SAFA	Mix	0.571674854
W3Mix	S_12	C14:0	3	SAFA	Mix	1.247870754
W3Mix	S_12	C14:1	3	MUFA	Mix	0
W3Mix	S_12	C15:0	3	SAFA	Mix	0.099514076
W3Mix	S_12	C15:1	3	MUFA	Mix	0.019753741
W3Mix	S_12	C16:0	3	SAFA	Mix	34.57896149
W3Mix	S_12	C16:1	3	MUFA	Mix	3.671030652
W3Mix	S_12	C17:0	3	SAFA	Mix	0.18455139
W3Mix	S_12	C17:1	3	MUFA	Mix	0.195908799
W3Mix	S_12	C18:0	3	SAFA	Mix	2.059886593
W3Mix	S_12	C18:1	3	MUFA	Mix	13.40458818
W3Mix	S_12	C18:2(n-6t)	3	PUFA	Mix	0.018828987
W3Mix	S_12	C18:2(n-6c)	3	PUFA	Mix	12.62928289
W3Mix	S_12	C18:3(n-6)	3	PUFA	Mix	0
W3Mix	S_12	C18:3(n-3)	3	PUFA	Mix	25.45552932
W3Mix	S_12	C18:4(n-3)	3	PUFA	Mix	2.379159722
W3Mix	S_12	C20:0	3	SAFA	Mix	0.143190561
W3Mix	S_12	C20:1	3	MUFA	Mix	0.222878363
W3Mix	S_12	C20:2(n-6)	3	PUFA	Mix	0.058812282
W3Mix	S_12	C20:3(n-6)	3	PUFA	Mix	0
W3Mix	S_12	C20:4(n-6)	3	PUFA	Mix	0.383320178
W3Mix	S_12	C20:3(n-3)	3	PUFA	Mix	0.021469545
W3Mix	S_12	C21:0	3	SAFA	Mix	0
W3Mix	S_12	C20:5(n-3)	3	PUFA	Mix	1.339144787
W3Mix	S_12	C22:0	3	SAFA	Mix	0.043997435
W3Mix	S_12	C22:1	3	MUFA	Mix	0.296815071
W3Mix	S_12	C22:2	3	PUFA	Mix	4.61518E-05
W3Mix	S_12	C22:5(n-3)	3	PUFA	Mix	0.000846089
W3Mix	S_12	C22:6(n-3)	3	PUFA	Mix	0.069103551
W3Mix	S_12	C24:0	3	SAFA	Mix	0.825328591
W3Mix	S_12	C24:1	3	MUFA	Mix	0
